查询日期,Excel代码,匹配Wind代码,稳定债券身份,证券简称,发行人,一般/专项分类,发行日期,到期日期,发行规模（亿元）,票面利率（%）,币种,收盘价到期收益率（%）,剩余期限（年）,修正久期（年）,债券余额（亿元）,收盘净价（元）,记录覆盖,字段完整,基本信息查询状态,行情查询状态,缺失指标,冲突或校验信息,记录状态,原因,来源会话,原始请求ID
2026-09-11,809336.IB,809336.IB,809336.IB,26河北23,河北省人民政府,general,2026-04-20,2036-04-21,88.2,1.89,CNY,1.7691,9.6082,8.7035,88.2,101.0634,已取得,完整,cached,cached,,,eligible,已具备样本汇总所需字段,ea76c1f6-40ed-48c3-b77d-df8184368747,155d5fba-32dc-4d9a-a882-71d754c647ed;404edb7a-5eba-499c-a437-d5716f0a835e;c58b2735-3ddd-4b05-b122-487e100a57c7;b2c31e8d-97cc-42da-b5cc-48080d64c433
2026-09-11,809335.IB,809335.IB,809335.IB,26湖南15,湖南省人民政府,general,2026-04-07,2033-04-08,272.27,1.76,CNY,,6.5726,6.1297,272.27,101.0467,已取得,未完整,cached,partial,收盘价到期收益率（%）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb;a2c0db82-090c-488b-968d-250ebecc8e27;59abd2c1-68fa-4ea3-998f-92f884d60fce,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08;db135950-4eab-41fb-8e64-630a37805604;0599c164-8439-46fa-a67c-4128fff7b5c6
2026-09-11,809322.IB,809322.IB,809322.IB,26北京02,北京市人民政府,general,2026-01-26,2036-01-27,35.86,1.95,CNY,,9.3781,8.5165,35.86,99.8426,已取得,未完整,cached,partial,收盘价到期收益率（%）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb;a2c0db82-090c-488b-968d-250ebecc8e27;59abd2c1-68fa-4ea3-998f-92f884d60fce,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08;db135950-4eab-41fb-8e64-630a37805604;0599c164-8439-46fa-a67c-4128fff7b5c6
2026-09-11,809321.IB,809321.IB,809321.IB,26北京01,北京市人民政府,general,2026-01-26,2029-01-27,30,1.47,CNY,,2.3781,,30,100.3279,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809320.IB,809320.IB,809320.IB,26重庆02,重庆市人民政府,general,2026-01-26,2036-01-27,114.3,1.95,CNY,,9.3781,,114.3,99.7298,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809319.IB,809319.IB,809319.IB,26重庆01,重庆市人民政府,general,2026-01-26,2036-01-27,134.09,1.95,CNY,,9.3781,,134.09,99.9988,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809312.IB,809312.IB,809312.IB,25北京86,北京市人民政府,general,2025-12-29,2035-12-30,19.34,2.09,CNY,,9.3014,,19.34,102.606,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809311.IB,809311.IB,809311.IB,25北京85,北京市人民政府,general,2025-12-29,2032-12-30,51.33,1.82,CNY,,6.3014,,51.33,100.0932,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809310.IB,809310.IB,809310.IB,25北京84,北京市人民政府,general,2025-12-29,2030-12-30,14.33,1.72,CNY,,4.3014,,14.33,101.08,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809308.IB,809308.IB,809308.IB,25河北83,河北省人民政府,general,2025-12-04,2035-12-05,15.29,2.06,CNY,,9.2329,,15.29,100.5322,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809306.IB,809306.IB,809306.IB,25辽宁43,辽宁省人民政府,general,2025-11-28,2032-12-01,2.6758,1.87,CNY,,6.2219,,2.6758,100,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809304.IB,809304.IB,809304.IB,25重庆66,重庆市人民政府,general,2025-11-21,2035-11-24,43,1.97,CNY,,9.2027,,43,101.8723,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809296.IB,809296.IB,809296.IB,25福建48,福建省人民政府,general,2025-11-25,2035-11-26,58.2135,1.97,CNY,,9.2082,,58.2135,100.5221,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809292.IB,809292.IB,809292.IB,25山西59,山西省人民政府,general,2025-10-31,2030-11-03,10.1349,1.69,CNY,,4.1452,,10.1349,100.0426,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809287.IB,809287.IB,809287.IB,25内蒙古28,内蒙古自治区人民政府,general,2025-10-30,2035-10-31,15,2.03,CNY,,9.137,,15,99.8876,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809283.IB,809283.IB,809283.IB,25天津75,天津市人民政府,general,2025-10-27,2032-10-28,5.5123,1.99,CNY,,6.1288,,5.5123,100.9721,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809282.IB,809282.IB,809282.IB,25天津74,天津市人民政府,general,2025-10-27,2028-10-28,3.9595,1.68,CNY,,2.1288,,3.9595,100,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809276.IB,809276.IB,809276.IB,25天津68,天津市人民政府,general,2025-10-27,2032-10-28,4.1097,1.96,CNY,,6.1288,,4.1097,100,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809273.IB,809273.IB,809273.IB,25北京76,北京市人民政府,general,2025-10-16,2035-10-17,12.4209,2.03,CNY,,9.0986,,12.4209,99.5239,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809272.IB,809272.IB,809272.IB,25北京75,北京市人民政府,general,2025-10-16,2030-10-17,12.5362,1.64,CNY,,4.0986,,12.5362,100.8887,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809270.IB,809270.IB,809270.IB,25江苏43,江苏省人民政府,general,2025-09-12,2032-09-15,157.62,1.9,CNY,,6.011,,157.62,102.049,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809263.IB,809263.IB,809263.IB,25安徽63,安徽省人民政府,general,2025-07-08,2035-07-09,89.2033,1.73,CNY,,8.8247,,89.2033,100.1693,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809262.IB,809262.IB,809262.IB,25安徽62,安徽省人民政府,general,2025-07-08,2032-07-09,12.7967,1.65,CNY,,5.8247,,12.7967,100,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809246.IB,809246.IB,809246.IB,25北京48,北京市人民政府,general,2025-06-26,2035-06-27,45.5,1.69,CNY,,8.7918,,45.5,100.6354,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809245.IB,809245.IB,809245.IB,25北京47,北京市人民政府,general,2025-06-26,2032-06-27,19.3,1.64,CNY,,5.7918,,19.3,99.145,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809244.IB,809244.IB,809244.IB,25北京46,北京市人民政府,general,2025-06-26,2030-06-27,8.2,1.56,CNY,,3.7918,,8.2,100.0385,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809243.IB,809243.IB,809243.IB,25北京45,北京市人民政府,general,2025-06-26,2028-06-27,8,1.45,CNY,,1.7918,,8,100.1428,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809242.IB,809242.IB,809242.IB,25黑龙江13,黑龙江省人民政府,general,2025-06-19,2035-06-20,137.2604,1.69,CNY,,8.7726,,137.2604,100.1868,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809241.IB,809241.IB,809241.IB,25黑龙江12,黑龙江省人民政府,general,2025-06-19,2032-06-20,11.7166,1.63,CNY,,5.7726,,11.7166,100.7481,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809239.IB,809239.IB,809239.IB,25四川26,四川省人民政府,general,2025-05-13,2032-05-14,213.7309,1.7,CNY,,5.6712,,213.7309,101.2869,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809215.IB,809215.IB,809215.IB,25北京02,北京市人民政府,general,2025-01-21,2035-01-22,16,1.7,CNY,,8.3644,,16,100.8042,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809214.IB,809214.IB,809214.IB,25北京01,北京市人民政府,general,2025-01-21,2028-01-22,9.9,1.33,CNY,,1.3644,,9.9,100.0867,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809212.IB,809212.IB,809212.IB,24福建38,福建省人民政府,general,2024-11-12,2031-11-13,25.6198,2.03,CNY,,5.1726,,25.6198,102.9335,已取得,未完整,cached,partial,收盘价到期收益率（%）；修正久期（年）,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
