查询日期,Excel代码,匹配Wind代码,证券简称,基本信息查询状态,行情查询状态,缺失指标,缺失字段代码,冲突或校验信息,记录状态,原因,来源会话,原始请求ID
2026-09-11,809335.IB,809335.IB,26湖南15,cached,partial,收盘价到期收益率（%）,yieldPct,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb;a2c0db82-090c-488b-968d-250ebecc8e27;59abd2c1-68fa-4ea3-998f-92f884d60fce,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08;db135950-4eab-41fb-8e64-630a37805604;0599c164-8439-46fa-a67c-4128fff7b5c6
2026-09-11,809322.IB,809322.IB,26北京02,cached,partial,收盘价到期收益率（%）,yieldPct,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb;a2c0db82-090c-488b-968d-250ebecc8e27;59abd2c1-68fa-4ea3-998f-92f884d60fce,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08;db135950-4eab-41fb-8e64-630a37805604;0599c164-8439-46fa-a67c-4128fff7b5c6
2026-09-11,809321.IB,809321.IB,26北京01,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809320.IB,809320.IB,26重庆02,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809319.IB,809319.IB,26重庆01,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809312.IB,809312.IB,25北京86,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809311.IB,809311.IB,25北京85,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809310.IB,809310.IB,25北京84,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809308.IB,809308.IB,25河北83,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809306.IB,809306.IB,25辽宁43,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809304.IB,809304.IB,25重庆66,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809296.IB,809296.IB,25福建48,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809292.IB,809292.IB,25山西59,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809287.IB,809287.IB,25内蒙古28,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809283.IB,809283.IB,25天津75,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809282.IB,809282.IB,25天津74,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809276.IB,809276.IB,25天津68,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809273.IB,809273.IB,25北京76,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809272.IB,809272.IB,25北京75,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
2026-09-11,809270.IB,809270.IB,25江苏43,cached,partial,收盘价到期收益率（%）；修正久期（年）,yieldPct;duration,,incomplete,缺失或无效：目标日有效到期收益率、到期收益率,b75b2029-25d6-48fb-9811-1aacbda8aaeb,f5a0cda5-d353-4a69-a1e7-83ec44d79f0f;f5af9f94-fc45-41ce-b20c-f1aabaa43f08
