name,value
bondFullName,2023年四川省城乡基础设施建设专项债券(十二期)-2023年四川省政府专项债券(十二期)
bondDefinedCode,fjgiibig8g
bondName,23四川18
bondCode,101948
isinCode,---
entyFullName,四川省政府
entyDefinedCode,300641
trusteeCode,
trustee,
custodian,---
bondTypeCode,100011
bondType,地方政府债
bondCcy,---
issueDate,2023-02-27
mrtyDate,2043-02-28
lstngDate,2023-03-02
dlstngDate,---
bondPeriod,20年
parValue,100.00
issuePrice,100.0000
plndIssueAmnt,117.4052
issueAmnt,117.4052
intrstBss,---
couponType,附息式固定利率
frstValueDate,2023-02-28
couponFrqncy,半年
parCouponRate,3.2400
isYldRate,---
refyld,---
refyldPlusFlag,0
bnchmkRateNm,---
bnchmkRate,---
bnchmkSpreadRate,---
crcltnScp,---
spclPrjctVrty,---
note,---
bondRisInfoList,[]
startenty,---
startDefinedCode,---
evstofbonddflt,
exerciseInfoFlag,否
ntnlPrncplAmnt,---
crdtPrmmRateInvstRtrnRate,---
refEnty,---
theSbjctEnty,---
refDebtCd,---
refDebtBondDfndCd,---
refDebtBondType,---
refDebtNm,---
theUndrlyngDebt,---
theUndrlyngDebtCd,---
theUndrlyngDebtBondDfndCd,---
theUndrlyngDebtBondType,---
totlFlowOfUndrlyngDebt,---
crtnDt,---
frstPayDt,---
frstCpnDt,2023-08-28
calcAgnt,---
chrgngMthds,---
crdtEv,---
brchStlmntMthd,---
rgstrtnCnfrmtnDay,---
inptTp,0
