column,original_target_name,actual_metric_name,status_label,unit,entity_grain,sample_acquired_count,sample_total,example_value,scope_note
A,证券代码,证券代码及银行间市场映射,已获取,代码,bond,5,5,809336.IB,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
B,发行地区,从发行人名称提取的地区,已获取（计算）,地区,bond,5,5,河北省,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
C,证券简称,证券简称,已获取,文本,bond,5,5,26河北23,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
D,剩余期限(年),剩余期限（Actual/365）,已获取（计算替代）,年,bond_day,5,5,9.616438356164384,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
E,余额(亿),发行规模（未偿余额的规模参考）,已获取（替代）,亿元,bond_issue_event,5,5,88.2,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
F,地方债类型,从债券全称识别的一般债/专项债,已获取（计算）,类别,bond,5,5,一般债,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
G,票面,票面利率,已获取,%,bond,5,5,1.89,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
H,久期,地方政府债指数平均市值法久期（基准参考）,已获取（替代）,年,index_day,4,5,8.9583,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
I,地方债曲线,CFETS地方债AAA曲线期限插值收益率,已获取（计算替代）,%,curve_at_bond_tenor_day,4,5,1.7405164383561644,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
J,中债估值,同日成交收益率；缺失时地方债指数平均收益率参考,已获取（替代）,%,bond_market_day_or_index_day,4,5,1.7024,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
K,免税收益,按原表公式计算的调整收益参考,已获取（计算替代）,%,proxy_at_bond_day,4,5,2.1749,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
L,非免税曲线偏离,替代收益率相对CFETS曲线的差值,已获取（计算替代）,BP,proxy_at_bond_day,4,5,-3.8116438356164517,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
M,免税曲线偏离,按原表调整公式计算的参考差值,已获取（计算替代）,BP,proxy_at_bond_day,4,5,-0.0745547945205427,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
N,期限（四舍五入）,基于Actual/365剩余期限的原表期限档位,已获取（计算替代）,年档,bond_day,5,5,10,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
O,债券是否提前偿还,提前偿还/本金偿还安排,未获取,标志,bond,0,5,,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
P,综合收益,按原表公式计算的调整收益参考,已获取（计算替代）,%,proxy_at_bond_day,4,5,2.1749,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
Q,久期*余额,地方债指数久期×发行规模（研究参考）,已获取（计算替代）,年×亿元,bond_issue_event_x_index_day,4,5,790.12206,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
R,债券是否提前偿还,提前偿还/本金偿还安排,未获取,标志,bond,0,5,,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
S,发行日期,发行日期,已获取,日期,bond,5,5,2026-04-20,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
T,日期早于2025年8月8日，填1，否则为0,发行日期早于2025-08-08的标记,已获取（计算）,0/1,bond,5,5,0,"字段能力与5只样本的取得情况，不代表14,023只全量覆盖。"
