target_entity_id,target_entity_name,target_column,original_target_name,actual_metric_name,value,unit,status_label,entity_grain,source_entity_id,source_date,requested_as_of_date,source_function,proxy_or_calculation_method,note
809336.IB,26河北23,A,证券代码,证券代码及银行间市场映射,809336.IB,代码,已获取,bond,809336.IB,,2026-09-11,bond_info_detail_cm,,
809336.IB,26河北23,B,发行地区,从发行人名称提取的地区,河北省,地区,已获取（计算）,bond,809336.IB,,2026-09-11,bond_info_detail_cm,remove_government_name_suffix,
809336.IB,26河北23,C,证券简称,证券简称,26河北23,文本,已获取,bond,809336.IB,,2026-09-11,bond_info_detail_cm,,
809336.IB,26河北23,D,剩余期限(年),剩余期限（Actual/365）,9.616438356164384,年,已获取（计算替代）,bond_day,809336.IB,2026-09-11,2026-09-11,bond_info_detail_cm,"max(0,(maturity-as_of).days/365)",按实际天数/365计算，与Wind计年规则存在细小差异。
809336.IB,26河北23,E,余额(亿),发行规模（未偿余额的规模参考）,88.2,亿元,已获取（替代）,bond_issue_event,809336.IB,2026-04-20,2026-09-11,bond_info_detail_cm,issuance_size_reference,仅作为规模替代指标，不是未偿本金；到期后发行规模仍可为正。
809336.IB,26河北23,F,地方债类型,从债券全称识别的一般债/专项债,一般债,类别,已获取（计算）,bond,809336.IB,,2026-09-11,bond_info_detail_cm,classify_general_or_special_from_full_name,
809336.IB,26河北23,G,票面,票面利率,1.89,%,已获取,bond,809336.IB,,2026-09-11,bond_info_detail_cm,,
809336.IB,26河北23,H,久期,地方政府债指数平均市值法久期（基准参考）,8.9583,年,已获取（替代）,index_day,地方政府债指数,2026-09-11,2026-09-11,bond_index_general_cbond,index_duration_reference,指数级基准，不是这只债券的修正久期。
809336.IB,26河北23,I,地方债曲线,CFETS地方债AAA曲线期限插值收益率,1.7405164383561644,%,已获取（计算替代）,curve_at_bond_tenor_day,地方政府债(AAA),2026-09-11,2026-09-11,bond_china_close_return,linear_interpolation,以AAA曲线作统一比较基准，不代表对该券评级的确认；不外推。
809336.IB,26河北23,J,中债估值,地方债指数平均市值法到期收益率（参考）,1.7024,%,已获取（替代）,index_day,地方政府债指数,2026-09-11,2026-09-11,bond_index_general_cbond,index_reference,缺少同日个券成交，提供指数均值参考；未做期限匹配，不表示个券定价。
809336.IB,26河北23,K,免税收益,指数收益率参考：按原表公式计算的调整收益参考,2.1749,%,已获取（计算替代）,proxy_at_bond_day,809336.IB,2026-09-11,2026-09-11,local_calculation,J+0.25*G,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
809336.IB,26河北23,L,非免税曲线偏离,指数收益率参考：替代收益率相对CFETS曲线的差值,-3.8116438356164517,BP,已获取（计算替代）,proxy_at_bond_day,809336.IB,2026-09-11,2026-09-11,local_calculation,(J-I)*100,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
809336.IB,26河北23,M,免税曲线偏离,指数收益率参考：按原表调整公式计算的参考差值,-0.0745547945205427,BP,已获取（计算替代）,proxy_at_bond_day,809336.IB,2026-09-11,2026-09-11,local_calculation,(J+0.25*G-1.25*I)*100,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
809336.IB,26河北23,N,期限（四舍五入）,基于Actual/365剩余期限的原表期限档位,10,年档,已获取（计算替代）,bond_day,809336.IB,2026-09-11,2026-09-11,local_calculation,30 if D>=25 else floor(D+0.5),分组规则沿用原表，剩余期限继承D列Actual/365替代计年口径。
809336.IB,26河北23,O,债券是否提前偿还,提前偿还/本金偿还安排,,标志,未获取,bond,809336.IB,,2026-09-11,bond_info_detail_cm,,原始行权标志不涵盖完整本金提前偿还安排；存在与原表不一致样本，不能用否或占位值填补。
809336.IB,26河北23,P,综合收益,指数收益率参考：按原表公式计算的调整收益参考,2.1749,%,已获取（计算替代）,proxy_at_bond_day,809336.IB,2026-09-11,2026-09-11,local_calculation,J+0.25*G,采用用户允许的替代输入并沿用原表公式；是指数基准参考计算，不是个券实测收益或估值利差。
809336.IB,26河北23,Q,久期*余额,地方债指数久期×发行规模（研究参考）,790.12206,年×亿元,已获取（计算替代）,bond_issue_event_x_index_day,809336.IB,2026-09-11,2026-09-11,local_calculation,H*E,仅研究参考；输入为发行规模和指数久期，禁止解释为真实逐券风险敞口或据此计算真实组合久期。
