原表证券代码,原表证券简称,来源证券简称,成交净价,最新成交收益率(%),加权成交收益率(%),来源成交时间
101948.IB,23四川18,23四川18,116.66,2.0425,2.0425,2026-09-11 17:12:28
104541.IB,19黑龙江债03,19黑龙江债03,105.35,1.2200,1.2200,2026-09-11 16:24:35
104792.IB,20广东债35,20广东债35,105.40,1.3678,1.3678,2026-09-11 11:34:17
104839.IB,20四川债92,20四川债92,131.36,2.1500,2.1500,2026-09-11 15:56:10
157564.IB,19福建03,19福建03,105.18,1.2745,1.2745,2026-09-11 15:03:14
157631.IB,19河南13,19河南13,115.27,1.5300,1.5300,2026-09-11 15:34:58
1605694.IB,16云南债17,16云南债17,100.39,0.9200,0.9200,2026-09-11 14:00:32
160594.IB,20江苏03,20江苏03,106.63,1.3300,1.3300,2026-09-11 14:05:14
160773.IB,20湖南39,20湖南39,105.65,1.3828,1.3828,2026-09-11 13:46:05
173687.IB,21福建13,21福建13,124.43,1.9200,1.9167,2026-09-11 16:23:02
173695.IB,21云南09,21云南09,133.24,2.1600,2.1595,2026-09-11 15:56:59
173769.IB,21大连09,21大连09,103.77,1.1450,1.1450,2026-09-11 13:42:02
173788.IB,21河北24,21河北24,110.68,1.5342,1.5342,2026-09-11 15:13:32
173859.IB,21浙江47,21浙江47,109.16,1.3750,1.3749,2026-09-11 17:11:52
173861.IB,21浙江49,21浙江49,109.03,1.4000,1.4000,2026-09-11 15:59:00
173875.IB,21四川52,21四川52,117.83,1.6698,1.6698,2026-09-11 14:18:28
173898.IB,21江苏29,21江苏29,116.06,1.6550,1.6550,2026-09-11 14:15:07
173971.IB,22上海28,22上海28,104.22,1.3175,1.3175,2026-09-11 14:46:32
173973.IB,22上海30,22上海30,107.45,1.4625,1.4625,2026-09-11 16:54:53
173994.IB,23重庆02,23重庆02,115.23,1.7300,1.7300,2026-09-11 16:58:29
173995.IB,23重庆03,23重庆03,117.25,2.0360,2.0360,2026-09-11 17:22:52
1805367.IB,18湖南债21,18湖南债21,126.84,1.7350,1.7370,2026-09-11 16:30:13
1905033.IB,19浙江债02,19浙江债02,104.96,1.2650,1.2650,2026-09-11 14:54:38
1905260.IB,19新疆债15,19新疆债15,123.47,1.8150,1.8150,2026-09-11 17:16:52
1905283.IB,19浙江债17,19浙江债17,106.29,1.1975,1.1975,2026-09-11 14:26:52
198187.IB,23重庆债07,23重庆债07,116.76,2.0375,2.0375,2026-09-11 17:23:31
198194.IB,23安徽债23,23安徽债23,114.49,1.7266,1.7268,2026-09-11 16:07:51
198204.IB,23江苏债09,23江苏债09,114.90,1.6984,1.6986,2026-09-11 16:07:42
198212.IB,23湖南债11,23湖南债11,114.59,1.7261,1.7263,2026-09-11 16:07:38
198249.IB,23广东债32,23广东债32,113.82,2.0203,2.0203,2026-09-11 15:46:14
198310.IB,23江苏债20,23江苏债20,104.86,1.3825,1.3825,2026-09-11 11:51:03
198313.IB,23云南债15,23云南债15,102.25,1.2800,1.2800,2026-09-11 14:38:58
198324.IB,23广东债66,23广东债66,113.82,2.0325,2.0325,2026-09-11 09:42:01
198390.IB,23山东债82,23山东债82,106.22,1.3800,1.3800,2026-09-11 11:00:00
198392.IB,23湖北债120,23湖北债120,105.44,1.3884,1.3880,2026-09-11 17:45:13
