value,cnLabel,enLabel
CYCC000,国债,Treasury Bond
CYCC010,央行票据,Central Bank Bill
CYCC021,政策性金融债(国开),Policy bank Bond(CDB)
CYCC024,政策性金融债(进出口行),Policy Financial Bond(EIBC)
CYCC023,政策性金融债(农发行),Policy Financial Bond(ADBC)
CYCC080,政府支持机构债,Government-sponsored Agency Bond
CYCC081,政府支持机构债(减税),Government-sponsored Agency Bond(Tax Cuts)
CYCC82A,中短期票据(AAA+),CP and MTN(AAA+)
CYCC82B,中短期票据(AAA),CP and MTN(AAA)
CYCC82C,中短期票据(AAA-),CP and MTN(AAA-)
CYCC82D,中短期票据(AA+),CP and MTN(AA+)
CYCC82E,中短期票据(AA),CP and MTN(AA)
CYCC82F,中短期票据(AA-),CP and MTN(AA-)
CYCC82G,中短期票据(A+),CP and MTN(A+)
CYCC82H,中短期票据(A),CP and MTN(A)
CYCC82I,中短期票据(A-),CP and MTN(A-)
CYCC80A,有担保企业债(AAA+),Corporate Bond(AAA+)
CYCC80B,有担保企业债(AAA),Corporate Bond(AAA)
CYCC834,企业债(AAA-),Corporate Bond(AAA-)
CYCC80D,有担保企业债(AA+),Corporate Bond(AA+)
CYCC80E,有担保企业债(AA),Corporate Bond(AA)
CYCC80F,有担保企业债(AA-),Corporate Bond(AA-)
CYCC83A,无担保企业债(AAA(2)),Corporate Bond(AAA2)
CYCC83D,无担保企业债(AA+(2)),Corporate Bond(AA+2)
CYCC83E,无担保企业债(AA(2)),Corporate Bond(AA2)
CYCC83F,无担保企业债(AA-(2)),Corporate Bond(AA-2)
CYCC836,企业债(A+),Corporate Bond(A+)
CYCC837,企业债(A),Corporate Bond(A)
CYCC838,企业债(A-),Corporate Bond(A-)
CYCC839,企业债(BBB+),Corporate Bond(BBB+)
CYCC830,企业债(BBB),Corporate Bond(BBB)
CYCC83B,企业债(BB),Corporate Bond(BB)
CYCC83C,企业债(B),Corporate Bond(B)
CYCC201,政策性金融债(1Y_Depo)浮动利率点差,Policy bank Bond(1Y_Depo)
CYCC203,政策性金融债(LPR_1Y)浮动利率点差,Policy bank Bond(LPR_1Y)
CYCC202,政策性金融债(Shibor_3M)浮动利率点差,Policy bank Bond(Shibor_3M)
CYCC831,企业债(1Y_Depo)(AAA)浮动利率点差,"Corporate Bond(1Y_Depo,AAA)"
CYCC832,企业债(Shibor_3M)(AAA)浮动利率点差,"Corporate Bond(Shibor_3M,AAA)"
CYCC833,企业债(Shibor_1Y)(AA+)浮动利率点差,"Corporate Bond(Shibor_1Y,AA+)"
CYCC821,中期票据(1Y_Depo)(AAA)浮动利率点差,"Medium-term Note(1Y_Depo,AAA)"
CYCC41B,同业存单(AAA),NCD(AAA)
CYCC41J,同业存单(AAA-),NCD(AAA-)
CYCC41C,同业存单(AA+),NCD(AA+)
CYCC41D,同业存单(AA),NCD(AA)
CYCC41K,同业存单(AA-),NCD(AA-)
CYCC41L,同业存单(A+),NCD(A+)
CYCC41M,同业存单(A),NCD(A)
CYCC41N,同业存单(A-),NCD(A-)
CYCC84A,地方政府债(AAA),Local Government Bond(AAA)
CYCC84B,地方政府债(AAA-),Local Government Bond(AAA-)
CYCC85A,商业银行普通金融债(AAA),Financial Bond of Commercial Bank(AAA)
CYCC85C,商业银行普通金融债(AAA-),Financial Bond of Commercial Bank(AAA-)
CYCC85B,商业银行普通金融债(AA+),Financial Bond of Commercial Bank(AA+)
CYCC85D,商业银行普通金融债(AA),Financial Bond of Commercial Bank(AA)
CYCC85E,商业银行普通金融债(AA-),Financial Bond of Commercial Bank(AA-)
CYCC85F,商业银行普通金融债(A+),Financial Bond of Commercial Bank(A+)
CYCC85G,商业银行普通金融债(A),Financial Bond of Commercial Bank(A)
CYCC85H,商业银行普通金融债(A-),Financial Bond of Commercial Bank(A-)
CYCC862,商业银行二级资本债(AAA-),Secondary Capital Bond of Commercial Banks(AAA-)
CYCC863,商业银行二级资本债(AA+),Secondary Capital Bond of Commercial Banks(AA+)
CYCC864,商业银行二级资本债(AA),Secondary Capital Bond of Commercial Banks(AA)
CYCC865,商业银行二级资本债(AA-),Secondary Capital Bond of Commercial Banks(AA-)
CYCC866,商业银行二级资本债(A+),Secondary Capital Bond of Commercial Banks(A+)
CYCC861,商业银行二级资本债(A),Secondary Capital Bond of Commercial Banks(A)
CYCC50A,资产支持证券(AAA),ABS(AAA)
CYCC50B,资产支持证券(AAA-),ABS(AAA-)
CYCC50C,资产支持证券(AA+),ABS(AA+)
CYCC87A,证券公司短期融资券(AAA),Commercial Paper of Securities Company(AAA)
CYCC87C,证券公司短期融资券(AA+),Commercial Paper of Securities Company(AA+)
CYCC87D,证券公司短期融资券(AA),Commercial Paper of Securities Company(AA)
CYCC508,非公开发行债(AAA),PPN(AAA)
CYCC509,非公开发行债(AAA-),PPN(AAA-)
CYCC510,非公开发行债(AA+),PPN(AA+)
CYCC511,非公开发行债(AA),PPN(AA)
CYCC512,非公开发行债(AA-),PPN(AA-)
