name,value
bondFullName,2026年河北省政府再融资一般债券(五期)-2026年河北省政府一般债券(六期)
bondDefinedCode,jdfdg5zg4z
bondName,26河北23
bondCode,809336
isinCode,---
entyFullName,河北省政府
entyDefinedCode,300670
trusteeCode,
trustee,
custodian,---
bondTypeCode,100011
bondType,地方政府债
bondCcy,---
issueDate,2026-04-20
mrtyDate,2036-04-21
lstngDate,2026-04-23
dlstngDate,---
bondPeriod,10年
parValue,100.00
issuePrice,100.0000
plndIssueAmnt,88.2
issueAmnt,88.2
intrstBss,---
couponType,附息式固定利率
frstValueDate,2026-04-21
couponFrqncy,半年
parCouponRate,1.8900
isYldRate,---
refyld,---
refyldPlusFlag,0
bnchmkRateNm,---
bnchmkRate,---
bnchmkSpreadRate,---
crcltnScp,---
spclPrjctVrty,---
note,---
bondRisInfoList,[]
startenty,---
startDefinedCode,---
evstofbonddflt,
exerciseInfoFlag,否
ntnlPrncplAmnt,---
crdtPrmmRateInvstRtrnRate,---
refEnty,---
theSbjctEnty,---
refDebtCd,---
refDebtBondDfndCd,---
refDebtBondType,---
refDebtNm,---
theUndrlyngDebt,---
theUndrlyngDebtCd,---
theUndrlyngDebtBondDfndCd,---
theUndrlyngDebtBondType,---
totlFlowOfUndrlyngDebt,---
crtnDt,---
frstPayDt,---
frstCpnDt,2026-10-21
calcAgnt,---
chrgngMthds,---
crdtEv,---
brchStlmntMthd,---
rgstrtnCnfrmtnDay,---
inptTp,0
