name,value
bondFullName,2024年湖北省政府再融资一般债券(三期)
bondDefinedCode,bhcdg6hvoi
bondName,24湖北债16
bondCode,2405398
isinCode,---
entyFullName,湖北省政府
entyDefinedCode,300661
trusteeCode,
trustee,
custodian,---
bondTypeCode,100011
bondType,地方政府债
bondCcy,---
issueDate,2024-05-31
mrtyDate,2026-06-03
lstngDate,2024-06-05
dlstngDate,---
bondPeriod,2年
parValue,100.00
issuePrice,100.0000
plndIssueAmnt,32.9289
issueAmnt,32.9289
intrstBss,---
couponType,附息式固定利率
frstValueDate,2024-06-03
couponFrqncy,年
parCouponRate,1.8800
isYldRate,---
refyld,---
refyldPlusFlag,0
bnchmkRateNm,---
bnchmkRate,---
bnchmkSpreadRate,---
crcltnScp,---
spclPrjctVrty,---
note,---
bondRisInfoList,[]
startenty,---
startDefinedCode,---
evstofbonddflt,
exerciseInfoFlag,否
ntnlPrncplAmnt,---
crdtPrmmRateInvstRtrnRate,---
refEnty,---
theSbjctEnty,---
refDebtCd,---
refDebtBondDfndCd,---
refDebtBondType,---
refDebtNm,---
theUndrlyngDebt,---
theUndrlyngDebtCd,---
theUndrlyngDebtBondDfndCd,---
theUndrlyngDebtBondType,---
totlFlowOfUndrlyngDebt,---
crtnDt,---
frstPayDt,---
frstCpnDt,2025-06-03
calcAgnt,---
chrgngMthds,---
crdtEv,---
brchStlmntMthd,---
rgstrtnCnfrmtnDay,---
inptTp,0
