name,value
bondFullName,2023年浙江省棚改专项债券(一期)-2023年浙江省政府专项债券(一期)
bondDefinedCode,ffjae8tjvs
bondName,23浙江01
bondCode,101900
isinCode,---
entyFullName,浙江省政府
entyDefinedCode,300683
trusteeCode,
trustee,
custodian,---
bondTypeCode,100011
bondType,地方政府债
bondCcy,---
issueDate,2023-02-10
mrtyDate,2030-02-13
lstngDate,2023-02-15
dlstngDate,---
bondPeriod,7年
parValue,100.00
issuePrice,100.0000
plndIssueAmnt,13.2
issueAmnt,13.2
intrstBss,---
couponType,附息式固定利率
frstValueDate,2023-02-13
couponFrqncy,年
parCouponRate,2.9700
isYldRate,---
refyld,---
refyldPlusFlag,0
bnchmkRateNm,---
bnchmkRate,---
bnchmkSpreadRate,---
crcltnScp,---
spclPrjctVrty,---
note,---
bondRisInfoList,[]
startenty,---
startDefinedCode,---
evstofbonddflt,
exerciseInfoFlag,否
ntnlPrncplAmnt,---
crdtPrmmRateInvstRtrnRate,---
refEnty,---
theSbjctEnty,---
refDebtCd,---
refDebtBondDfndCd,---
refDebtBondType,---
refDebtNm,---
theUndrlyngDebt,---
theUndrlyngDebtCd,---
theUndrlyngDebtBondDfndCd,---
theUndrlyngDebtBondType,---
totlFlowOfUndrlyngDebt,---
crtnDt,---
frstPayDt,---
frstCpnDt,2024-02-13
calcAgnt,---
chrgngMthds,---
crdtEv,---
brchStlmntMthd,---
rgstrtnCnfrmtnDay,---
inptTp,0
