日期,期限,到期收益率,即期收益率,远期收益率
2026-09-11,0.083,1.0157,1.0157,
2026-09-11,0.25,1.0169,1.0169,
2026-09-11,0.5,1.1132,1.1132,
2026-09-11,0.75,1.1188,1.1188,
2026-09-11,1.0,1.28,1.28,1.4073
2026-09-11,2.0,1.3432,1.3436,1.408
2026-09-11,3.0,1.3645,1.3651,1.6254
2026-09-11,4.0,1.4283,1.4301,1.7574
2026-09-11,5.0,1.492,1.4955,1.8434
2026-09-11,6.0,1.5482,1.5534,1.9626
2026-09-11,7.0,1.6043,1.6117,2.0486
2026-09-11,8.0,1.6564,1.6663,2.1623
2026-09-11,9.0,1.7084,1.7213,2.278
2026-09-11,10.0,1.7605,1.7768,2.4674
2026-09-11,11.0,1.8184,1.8394,2.6016
2026-09-11,12.0,1.8763,1.9027,2.7388
2026-09-11,13.0,1.9342,1.9668,2.8795
2026-09-11,14.0,1.9921,2.0317,3.0239
2026-09-11,15.0,2.05,2.0975,2.8015
2026-09-11,16.0,2.0889,2.1414,2.9011
2026-09-11,17.0,2.1278,2.1859,3.0033
2026-09-11,18.0,2.1667,2.2312,3.1083
2026-09-11,19.0,2.2056,2.2771,3.2164
2026-09-11,20.0,2.2445,2.3239,2.3383
2026-09-11,21.0,2.2479,2.3246,2.3473
2026-09-11,22.0,2.2513,2.3256,2.3565
2026-09-11,23.0,2.2547,2.327,2.3657
2026-09-11,24.0,2.2581,2.3286,2.3752
2026-09-11,25.0,2.2615,2.3304,2.3848
2026-09-11,26.0,2.2649,2.3325,2.3945
2026-09-11,27.0,2.2683,2.3348,2.4044
2026-09-11,28.0,2.2717,2.3373,2.4145
2026-09-11,29.0,2.2751,2.34,2.4248
2026-09-11,30.0,2.2785,2.3428,
