日期,期限,到期收益率,即期收益率,远期收益率
2026-09-11,0.083,1.0558,1.0558,
2026-09-11,0.25,1.0825,1.0825,
2026-09-11,0.5,1.1643,1.1643,
2026-09-11,0.75,1.173,1.173,
2026-09-11,1.0,1.3398,1.3398,1.7851
2026-09-11,2.0,1.5605,1.5622,1.5895
2026-09-11,3.0,1.57,1.5713,1.7403
2026-09-11,4.0,1.6115,1.6135,1.8264
2026-09-11,5.0,1.653,1.6561,1.867
2026-09-11,6.0,1.6871,1.6912,1.9393
2026-09-11,7.0,1.7212,1.7266,2.0163
2026-09-11,8.0,1.7557,1.7628,2.0915
2026-09-11,9.0,1.7903,1.7992,2.1679
2026-09-11,10.0,1.8248,1.836,2.4837
2026-09-11,11.0,1.8788,1.8948,2.6089
2026-09-11,12.0,1.9328,1.9541,2.7368
2026-09-11,13.0,1.9867,2.0141,2.8678
2026-09-11,14.0,2.0407,2.0748,3.0022
2026-09-11,15.0,2.0947,2.1364,2.8377
2026-09-11,16.0,2.1332,2.1801,2.9364
2026-09-11,17.0,2.1716,2.2244,3.0377
2026-09-11,18.0,2.2101,2.2694,3.1419
2026-09-11,19.0,2.2485,2.3152,3.249
2026-09-11,20.0,2.287,2.3616,2.381
2026-09-11,21.0,2.2904,2.3626,2.39
2026-09-11,22.0,2.2938,2.3638,2.3992
2026-09-11,23.0,2.2972,2.3654,2.4085
2026-09-11,24.0,2.3006,2.3672,2.418
2026-09-11,25.0,2.304,2.3692,2.4277
2026-09-11,26.0,2.3074,2.3714,2.4375
2026-09-11,27.0,2.3108,2.3739,2.4475
2026-09-11,28.0,2.3142,2.3765,2.4576
2026-09-11,29.0,2.3176,2.3793,2.468
2026-09-11,30.0,2.321,2.3823,
