日期,期限,到期收益率,即期收益率,远期收益率
2026-06-17,0.083,1.238,1.238,
2026-06-17,0.25,1.2777,1.2777,
2026-06-17,0.5,1.3077,1.3077,
2026-06-17,0.75,1.3043,1.3043,
2026-06-17,1.0,1.3173,1.3173,1.8077
2026-06-17,2.0,1.5603,1.5622,1.6525
2026-06-17,3.0,1.5905,1.5923,1.8123
2026-06-17,4.0,1.6445,1.6472,1.9245
2026-06-17,5.0,1.6985,1.7026,1.9764
2026-06-17,6.0,1.7427,1.7482,2.0706
2026-06-17,7.0,1.7869,1.7942,2.0655
2026-06-17,8.0,1.8194,1.8281,2.1364
2026-06-17,9.0,1.8519,1.8623,2.2084
2026-06-17,10.0,1.8844,1.8969,2.6391
2026-06-17,11.0,1.946,1.9641,2.7832
2026-06-17,12.0,2.0075,2.0321,2.9309
2026-06-17,13.0,2.0691,2.101,3.0825
2026-06-17,14.0,2.1306,2.1708,3.2384
2026-06-17,15.0,2.1922,2.2416,3.0242
2026-06-17,16.0,2.2348,2.2903,3.1354
2026-06-17,17.0,2.2774,2.3399,3.2499
2026-06-17,18.0,2.3199,2.3902,3.3678
2026-06-17,19.0,2.3625,2.4414,3.4895
2026-06-17,20.0,2.4051,2.4936,2.5388
2026-06-17,21.0,2.4099,2.4957,2.5517
2026-06-17,22.0,2.4146,2.4983,2.5648
2026-06-17,23.0,2.4194,2.5012,2.5782
2026-06-17,24.0,2.4241,2.5044,2.5918
2026-06-17,25.0,2.4289,2.5079,2.6057
2026-06-17,26.0,2.4336,2.5116,2.6198
2026-06-17,27.0,2.4384,2.5156,2.6342
2026-06-17,28.0,2.4431,2.5199,2.6489
2026-06-17,29.0,2.4479,2.5243,2.6639
2026-06-17,30.0,2.4526,2.529,
