日期,期限,到期收益率,即期收益率,远期收益率
2026-06-17,0.083,1.1979,1.1979,
2026-06-17,0.25,1.2121,1.2121,
2026-06-17,0.5,1.2423,1.2423,
2026-06-17,0.75,1.2501,1.2501,
2026-06-17,1.0,1.2575,1.2575,1.4297
2026-06-17,2.0,1.343,1.3436,1.4708
2026-06-17,3.0,1.385,1.386,1.6973
2026-06-17,4.0,1.4613,1.4637,1.8556
2026-06-17,5.0,1.5375,1.542,1.9531
2026-06-17,6.0,1.6038,1.6104,2.0943
2026-06-17,7.0,1.67,1.6794,2.0983
2026-06-17,8.0,1.72,1.7316,2.2078
2026-06-17,9.0,1.7701,1.7844,2.3192
2026-06-17,10.0,1.8201,1.8378,2.623
2026-06-17,11.0,1.8856,1.9089,2.7763
2026-06-17,12.0,1.9511,1.9809,2.9334
2026-06-17,13.0,2.0165,2.0539,3.0947
2026-06-17,14.0,2.082,2.1279,3.2608
2026-06-17,15.0,2.1475,2.203,2.9881
2026-06-17,16.0,2.1905,2.2519,3.1002
2026-06-17,17.0,2.2335,2.3016,3.2155
2026-06-17,18.0,2.2766,2.3522,3.3343
2026-06-17,19.0,2.3196,2.4036,3.4569
2026-06-17,20.0,2.3626,2.456,2.4961
2026-06-17,21.0,2.3674,2.4579,2.5089
2026-06-17,22.0,2.3721,2.4603,2.522
2026-06-17,23.0,2.3769,2.4629,2.5353
2026-06-17,24.0,2.3816,2.466,2.5488
2026-06-17,25.0,2.3864,2.4693,2.5626
2026-06-17,26.0,2.3911,2.4729,2.5766
2026-06-17,27.0,2.3959,2.4767,2.591
2026-06-17,28.0,2.4006,2.4808,2.6055
2026-06-17,29.0,2.4054,2.4851,2.6204
2026-06-17,30.0,2.4101,2.4896,
