债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
26国开05,101.27,1.7728,0.53,1.7706,1797.3
26超长特别国债04,101.29,2.171,0.57,2.167,739.91
26进出01,100.04,1.3335,-0.15,1.333,720.7
26附息国债10,100.3,1.686,0.75,1.6804,306.263
26超长特别国债02,100.54,2.175,0.55,2.1726,288.752
26超长特别国债06,99.83,2.1475,0.95,2.1419,252.9001
26附息国债14,99.88,1.2109,-0.1,1.2124,165.43
26工行永续债04BC,100.0,1.8607,,1.8607,156.2
26附息国债12,100.25,1.52,0.65,1.5175,151.9
26农业银行CD202,98.53,1.4899,,1.4908,151.0
26超长特别国债03,107.17,2.2782,-0.42,2.2838,121.1
26建设银行CD297,98.91,1.475,,1.4759,120.0
26工商银行CD171,98.91,1.475,,1.476,117.0
26交通银行CD165,98.91,1.475,,1.4752,116.5
19附息国债16,100.54,0.6802,1.0,0.6802,106.5
25国开15,99.25,1.7433,0.78,1.7385,106.4
26农发10,100.1,1.798,0.6,1.7938,92.5
26农发01,100.07,1.2775,-0.94,1.2863,85.7
26国开10,99.85,1.7665,0.55,1.7629,83.2
24特别国债04,106.46,2.16,0.75,2.1574,74.7
25超长特别国债05,94.4,2.162,0.95,2.1533,72.8
25超长特别国债06,99.28,2.1835,0.45,2.1791,61.0
25超长特别国债02,94.81,2.123,0.8,2.118,56.36
26工商银行CD155,98.53,1.485,1.0,1.4848,54.0
26附息国债07,100.9,1.514,0.7,1.5094,50.055
25国开20,100.78,1.7748,0.68,1.7706,49.1
26建设银行CD290,98.54,1.485,1.0,1.4849,49.0
26中国银行CD064,98.91,1.475,,1.475,46.5
26工商银行CD168,98.54,1.485,-0.05,1.485,40.5
23农发清发07,104.32,1.54,1.5,1.54,39.9
26附息国债05,100.6,1.681,0.7,1.6761,39.2415
26附息国债16,99.77,1.685,0.8,1.6823,37.862
23附息国债23,117.93,2.1258,0.5,2.1222,37.4574
20农发04,105.04,1.505,0.25,1.505,34.8
26进出清发001,100.06,1.39,1.0,1.3909,33.4
26国开06,100.05,1.3775,0.53,1.3747,32.9
26农业银行CD088,99.29,1.4459,0.61,1.4426,32.87
26超长特别国债05,101.69,2.135,0.95,2.1289,32.21
26附息国债15,99.94,1.4135,1.35,1.4083,31.7179
24国开08,101.13,1.4435,0.1,1.444,30.9
25附息国债04,100.21,1.5835,0.35,1.5823,30.535
26农业银行CD128,99.28,1.4426,0.24,1.4436,30.0
26附息国债17,99.94,1.25,0.25,1.2499,29.5109
26国开08,100.07,1.535,1.0,1.5358,29.0
24国开05,106.49,1.68,0.25,1.6784,28.901
23进出11,107.62,1.6575,0.51,1.6558,28.3
26进出08,99.99,1.3874,1.24,1.3772,28.2
25国开08,100.14,1.5,0.08,1.5009,27.0
22国开08,101.02,1.31,-0.25,1.3104,26.8
23国开08,101.83,1.4175,1.0,1.419,26.6
25国开10,100.49,1.7369,0.34,1.7344,26.2
24附息国债11,105.39,1.525,0.47,1.5239,26.13
25进出61,100.0,1.2402,-0.01,1.2403,25.9
24特别国债03,110.43,2.1775,-0.25,2.1824,25.2
26国开03,100.64,1.54,0.5,1.5359,24.9413
26附息国债13,99.94,1.243,0.55,1.2409,24.63
26兴业银行CD147,99.64,1.44,-0.02,1.4401,24.0
26宁波银行CD243,99.27,1.465,-0.26,1.465,24.0
23农发绿债03,100.13,1.3197,,1.3097,23.4
25附息国债03,100.39,1.31,0.25,1.3102,23.3615
26国开清发02,100.04,1.475,1.0,1.475,22.6
26重庆银行绿债01,100.0,1.59,,1.5904,22.6
21云南09,133.24,2.16,,2.1595,22.4
25附息国债05,100.34,1.21,-0.51,1.211,22.38
26农业银行CD100,98.91,1.4601,1.0,1.4623,22.0
24特别国债05,104.22,2.0475,1.25,2.0405,21.61
25交通银行CD261,98.43,1.4401,0.76,1.4401,21.0
25附息国债20,100.93,1.395,0.25,1.3934,20.6
25附息国债07,101.95,1.42,0.4,1.4192,20.5418
22进出11,107.18,1.62,0.5,1.6187,19.9
24特别国债01,108.68,2.152,-0.13,2.152,19.8
24国开15,104.05,1.704,0.4,1.7006,19.6
