code,name,cohort,disposition,_diagnosticBucket,staticSyncStatus,regionId,bondType,issueDate,remainingYears,issueAmountYi,yieldPct,maturityDate,termYears,yieldDate,reason
104541.IB,19黑龙江债03,before_20250808,eligible,eligible,completed,heilongjiang,special,2019-03-15,2.517808219178082191780821918,25.9999,1.2200,2029-03-18,3,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
160594.IB,20江苏03,before_20250808,eligible,eligible,completed,jiangsu,special,2020-01-13,3.345205479452054794520547945,281.85,1.3300,2030-01-14,3,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
173687.IB,21福建13,before_20250808,eligible,eligible,completed,fujian,special,2021-06-10,14.75890410958904109589041096,215.2731,1.9200,2041-06-11,15,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
173788.IB,21河北24,before_20250808,eligible,eligible,completed,hebei,special,2021-07-12,9.843835616438356164383561644,38,1.5342,2036-07-13,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
173859.IB,21浙江47,before_20250808,eligible,eligible,completed,zhejiang,general,2021-10-29,5.142465753424657534246575342,223.2,1.3750,2031-11-01,5,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
173861.IB,21浙江49,before_20250808,eligible,eligible,completed,zhejiang,special,2021-10-29,5.142465753424657534246575342,245.1,1.4000,2031-11-01,5,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
173875.IB,21四川52,before_20250808,eligible,eligible,completed,sichuan,special,2021-10-28,10.13972602739726027397260274,60.835,1.6698,2036-10-29,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
173898.IB,21江苏29,before_20250808,eligible,eligible,completed,jiangsu,special,2021-11-30,10.23013698630136986301369863,74.54,1.6550,2036-12-01,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
173971.IB,22上海28,before_20250808,eligible,eligible,completed,shanghai,special,2022-09-20,3.030136986301369863013698630,87,1.3175,2029-09-21,3,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
1905283.IB,19浙江债17,before_20250808,eligible,eligible,completed,zhejiang,special,2019-07-31,2.890410958904109589041095890,117.85,1.1975,2029-08-01,3,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198393.IB,23湖北债121,before_20250808,eligible,eligible,completed,hubei,special,2023-10-20,7.120547945205479452054794521,50.9,1.5350,2033-10-23,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198425.IB,23天津债95,before_20250808,eligible,eligible,completed,tianjin,special,2023-11-01,7.147945205479452054794520548,107.1,1.5700,2033-11-02,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198426.IB,23天津债96,before_20250808,eligible,eligible,completed,tianjin,special,2023-11-01,7.147945205479452054794520548,108.9103,1.5700,2033-11-02,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198515.IB,24山东债25,before_20250808,eligible,eligible,completed,shandong,general,2024-06-17,4.769863013698630136986301370,41.51,1.4156,2031-06-18,5,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198518.IB,24河南债22,before_20250808,eligible,eligible,completed,henan,special,2024-06-26,4.794520547945205479452054795,99.8546,1.4450,2031-06-27,5,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198716.IB,23浙江39,before_20250808,eligible,eligible,completed,zhejiang,general,2023-08-04,6.909589041095890410958904110,74.79,1.5000,2033-08-07,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198727.IB,23湖南99,before_20250808,eligible,eligible,completed,hunan,general,2023-08-08,6.915068493150684931506849315,35.9928,1.5221,2033-08-09,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198874.IB,23天津89,before_20250808,eligible,eligible,completed,tianjin,special,2023-10-25,7.128767123287671232876712329,102,1.5666,2033-10-26,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198875.IB,23天津90,before_20250808,eligible,eligible,completed,tianjin,special,2023-10-25,7.128767123287671232876712329,95.6,1.5700,2033-10-26,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198960.IB,24云南04,before_20250808,eligible,eligible,completed,yunnan,general,2024-03-13,4.506849315068493150684931507,82.4241,1.4410,2031-03-14,5,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
198985.IB,24河南14,before_20250808,eligible,eligible,completed,henan,general,2024-04-08,4.578082191780821917808219178,113.1805,1.4114,2031-04-09,5,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199083.IB,24湖南债58,before_20250808,eligible,eligible,completed,hunan,special,2024-11-29,5.227397260273972602739726027,288,1.4575,2031-12-02,5,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199129.IB,25江苏债08,before_20250808,eligible,eligible,completed,jiangsu,special,2025-02-28,5.479452054794520547945205479,300,1.4604,2032-03-03,5,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199558.IB,26湖北债23,on_or_after_20250808,eligible,eligible,completed,hubei,special,2026-03-17,19.52876712328767123287671233,51.37,2.2100,2046-03-18,20,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199560.IB,26湖北债25,on_or_after_20250808,eligible,eligible,completed,hubei,special,2026-03-17,9.523287671232876712328767123,131.58,1.7666,2036-03-18,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199564.IB,26四川债17,on_or_after_20250808,eligible,eligible,completed,sichuan,special,2026-03-19,9.528767123287671232876712329,173.84,1.7666,2036-03-20,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199565.IB,26四川债18,on_or_after_20250808,eligible,eligible,completed,sichuan,special,2026-03-19,29.54246575342465753424657534,200,2.2800,2056-03-20,30,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199576.IB,26云南债06,on_or_after_20250808,eligible,eligible,completed,yunnan,special,2026-03-24,9.542465753424657534246575342,33.12,1.7738,2036-03-25,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199583.IB,26重庆债20,on_or_after_20250808,eligible,eligible,completed,chongqing,special,2026-04-02,9.567123287671232876712328767,201.6,1.7666,2036-04-03,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199603.IB,26福建债09,on_or_after_20250808,eligible,eligible,completed,fujian,special,2026-04-22,4.616438356164383561643835616,62.7995,1.4900,2031-04-23,5,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199612.IB,26安徽债32,on_or_after_20250808,eligible,eligible,completed,anhui,special,2026-04-28,19.64383561643835616438356164,77.66,2.2475,2046-04-29,20,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199617.IB,26江苏债17,on_or_after_20250808,eligible,eligible,completed,jiangsu,general,2026-04-23,6.621917808219178082191780822,123.42,1.5779,2033-04-24,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199619.IB,26江苏债19,on_or_after_20250808,eligible,eligible,completed,jiangsu,special,2026-04-23,14.62739726027397260273972603,95.36,2.0300,2041-04-24,15,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199620.IB,26江苏债20,on_or_after_20250808,eligible,eligible,completed,jiangsu,special,2026-04-23,19.63013698630136986301369863,220.41,2.2350,2046-04-24,20,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199626.IB,26河南债30,on_or_after_20250808,eligible,eligible,completed,henan,special,2026-05-14,29.69589041095890410958904110,112.71,2.2800,2056-05-15,30,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199628.IB,26广东债29,on_or_after_20250808,eligible,eligible,completed,guangdong,special,2026-05-26,6.712328767123287671232876712,174.5,1.6010,2033-05-27,7,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199629.IB,26广东债30,on_or_after_20250808,eligible,eligible,completed,guangdong,general,2026-05-26,9.715068493150684931506849315,64,1.7530,2036-05-27,10,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199636.IB,26河北债30,on_or_after_20250808,eligible,eligible,completed,hebei,special,2026-05-28,19.72602739726027397260273973,51.31,2.2450,2046-05-29,20,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
199642.IB,26广东债35,on_or_after_20250808,eligible,eligible,completed,guangdong,special,2026-06-12,29.78082191780821917808219178,128.9,2.2775,2056-06-15,30,2026-09-11,具备同日公开成交收益率与发行规模，可纳入样本汇总
